"범죄별(1)",범죄별(2),범죄별(3),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"범죄별(1)",범죄별(2),범죄별(3),계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"범죄발생총건수(A) (건)",소계,소계,1613754,295323,120110,71217,95959,46305,45011,18906,7980,404600,48495,46064,70570,53190,67857,79071,114100,28996
"인구(B) (명)",소계,소계,51325329,9386034,3293362,2374960,2997410,1419237,1442216,1103661,386525,13630821,1527807,1593469,2130119,1754757,1804217,2554324,3251158,675252
"A/Bⅹ100,000 (건/10만명)",소계,소계,3144.2,3146.4,3647,2998.7,3201.4,3262.7,3121,1713,2064.5,2968.3,3174.2,2890.8,3313,3031.2,3761,3095.6,3509.5,4294.1
"형법범 (건)",소계,소계,1026799,204113,79174,47620,62517,29048,32087,10276,5317,252174,28971,28452,40971,33234,33009,48790,71578,19468
"형법범 (건)",재산범죄,소계,669303,130171,53023,31708,38813,19363,21382,6810,3797,165542,17694,19156,27392,21495,20263,32591,47813,12290
"형법범 (건)",재산범죄,절도,189942,37176,15148,9853,9558,6060,6006,1686,1279,45480,4376,5402,7639,6083,5726,9865,15313,3292
"형법범 (건)",재산범죄,장물,316,57,54,8,19,6,11,4,1,105,5,8,4,9,3,6,13,3
"형법범 (건)",재산범죄,사기,354055,64112,28954,16381,20675,10021,12210,4097,1936,87542,10008,10718,15125,12184,11034,17433,24985,6640
"형법범 (건)",재산범죄,횡령,66318,18495,4996,2698,5230,1678,1513,401,288,16923,1429,1263,2033,1543,1408,2096,3320,1004
"형법범 (건)",재산범죄,배임,4594,1391,356,141,250,122,103,61,21,1015,128,100,152,134,137,122,291,70
"형법범 (건)",재산범죄,손괴,54078,8940,3515,2627,3081,1476,1539,561,272,14477,1748,1665,2439,1542,1955,3069,3891,1281
"형법범 (건)",강력범죄(흉악),소계,41287,10209,2857,1830,2694,1217,1268,324,188,9802,1123,1159,1575,1206,1160,1631,2354,690
"형법범 (건)",강력범죄(흉악),살인,801,158,53,24,42,24,21,12,3,175,28,29,43,32,39,46,62,10
"형법범 (건)",강력범죄(흉악),강도,599,134,28,30,62,21,22,5,-,126,10,16,30,15,12,29,42,17
"형법범 (건)",강력범죄(흉악),방화,1189,219,54,52,75,42,23,10,4,303,29,54,55,45,56,69,83,16
